,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,2377000000,-913000000,1607000000,1139000000,2464000000,-993000000,2337000000,1359000000,1602000000,-66000000,1028000000,1163000000,1442000000,-488000000,-197000000,1335000000,2251000000,-702000000,919000000,1228000000
paymentsForOperatingActivities,None,None,None,70000000,84000000,None,None,-31000000,375000000,-38000000,-36000000,-34000000,273000000,-36000000,-35000000,177000000,346000000,40000000,35000000,33000000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,362000000,-340000000,167000000,459000000,588000000,-823000000,779000000,438000000,367000000,439000000,240000000,33000000,388000000,-371000000,-267000000,525000000,989000000,-552000000,-206000000,355000000
changeInOperatingAssets,-372000000,865000000,-277000000,312000000,-501000000,1340000000,-486000000,356000000,-1150000000,749000000,94000000,-7000000,-74000000,883000000,740000000,119000000,-358000000,973000000,-227000000,320000000
depreciationDepletionAndAmortization,266000000,302000000,304000000,318000000,341000000,297000000,308000000,317000000,345000000,294000000,300000000,314000000,331000000,303000000,330000000,327000000,382000000,298000000,323000000,317000000
capitalExpenditures,463000000,284000000,252000000,257000000,471000000,272000000,269000000,287000000,592000000,205000000,230000000,247000000,733000000,244000000,263000000,296000000,632000000,309000000,304000000,359000000
changeInReceivables,-254000000,718000000,-334000000,279000000,-785000000,810000000,-147000000,-31000000,-507000000,253000000,200000000,-320000000,291000000,246000000,674000000,-451000000,221000000,550000000,41000000,-335000000
changeInInventory,-65000000,124000000,32000000,0,-21000000,2000000,47000000,21000000,-88000000,101000000,3000000,9000000,-61000000,27000000,71000000,73000000,34000000,137000000,194000000,65000000
profitLoss,943000000,863000000,861000000,933000000,1136000000,868000000,1005000000,986000000,1152000000,2357000000,1037000000,1063000000,2548000000,955000000,946000000,915000000,2080000000,842000000,812000000,937000000
cashflowFromInvestment,-458000000,-280000000,-255000000,-250000000,-422000000,-270000000,-269000000,-289000000,-383000000,3196000000,-174000000,-223000000,-741000000,-249000000,-219000000,-195000000,-578000000,-309000000,-303000000,-200000000
cashflowFromFinancing,-1568000000,462000000,-1112000000,-850000000,-924000000,2296000000,-1168000000,-253000000,-1307000000,-4520000000,-430000000,-826000000,-1226000000,-619000000,-589000000,-643000000,-762000000,929000000,273000000,-2330000000
proceedsFromRepaymentsOfShortTermDebt,-307000000,794000000,-713000000,89000000,-399000000,737000000,-750000000,0,-65000000,0,0,0,0,0,0,0,0,0,0,None
paymentsForRepurchaseOfCommonStock,1054000000,60000000,171000000,213000000,300000000,344000000,146000000,0,0,2000000000,143000000,581000000,981000000,318000000,322000000,371000000,493000000,723000000,208000000,223000000
paymentsForRepurchaseOfEquity,1054000000,60000000,171000000,213000000,300000000,344000000,146000000,0,0,2000000000,143000000,581000000,981000000,318000000,322000000,371000000,493000000,723000000,208000000,223000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,205000000,211000000,224000000,223000000,222000000,227000000,242000000,242000000,242000000,238000000,248000000,251000000,246000000,251000000,268000000,267000000,266000000,270000000,284000000,280000000
dividendPayoutCommonStock,205000000,211000000,224000000,223000000,222000000,227000000,242000000,242000000,242000000,238000000,248000000,251000000,246000000,251000000,268000000,267000000,266000000,270000000,284000000,280000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0,0,0,0,0,2239000000,0,0,0,0,0,0,0,0,0,0,0,1995000000,0,0
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-1054000000,-60000000,-171000000,-213000000,-300000000,-344000000,-146000000,0,0,-2000000000,-143000000,-581000000,-981000000,-318000000,-322000000,-371000000,-493000000,-723000000,-208000000,-223000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,351000000,-1352000000,240000000,39000000,1118000000,1033000000,1005000000,986000000,1152000000,-1390000000,1037000000,1063000000,-525000000,-1356000000,-1005000000,497000000,911000000,-82000000,889000000,None
changeInExchangeRate,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,356000000,863000000,861000000,933000000,-409000000,868000000,1005000000,986000000,330000000,2195000000,1037000000,1063000000,2710000000,955000000,946000000,915000000,2080000000,842000000,812000000,937000000
freeCashflow,1914000000.0,-1197000000.0,1355000000.0,882000000.0,1993000000.0,-1265000000.0,2068000000.0,1072000000.0,1010000000.0,-271000000.0,798000000.0,916000000.0,709000000.0,-732000000.0,-460000000.0,1039000000.0,1619000000.0,-1011000000.0,615000000.0,869000000.0
startPeriod,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30
endPeriod,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,321.72,291.55,324.93,383.89,378.58,385.01,357.12,352.12,326.73,326.15,379.03,373.98,408.03,490.82,492.3,515.49,556.27,547.8,483.4,462.0
stockLow,223.63,237.08,264.5,317.88,335.94,263.31,290.62,285.49,285.13,282.88,320.27,344.89,345.9,364.62,431.92,433.87,463.11,430.94,429.1,416.71
stockAverage,276.75,272.36,298.1,353.79,352.11,348.51,327.82,325.91,306.13,301.18,359.49,361.48,372.04,411.87,458.74,476.58,520.86,464.09,453.83,439.4
