,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,498.96,558.46,550.34,"5,073","5,251","5,298",388.26,595.6,610.84,"3,919",759.9,847.29,855.13,869.5,909.2,961.07,901.55,552.33,790.3,744.81,521.62,513.46,455.48,524.58,"2,241","6,059","5,986","5,767","4,896","3,007","2,068","1,374",876.14,867.09,437.67,500.34,757.87,745.2,569.1,962.17
Cash & Cash Equivalents,498.96,558.46,550.34,"5,073","5,251","5,298",388.26,595.6,610.84,"3,919",759.9,847.29,855.13,869.5,909.2,961.07,901.55,552.33,790.3,744.81,521.62,513.46,455.48,524.58,"2,241","6,059","5,986","5,767","4,896","3,007","2,068","1,374",876.14,867.09,437.67,500.34,757.87,745.2,569.1,962.17
Cash Growth,4.65%,0.15%,6.37%,734.80%,952.37%,848.74%,-29.45%,-88.26%,-88.37%,-26.03%,95.72%,42.26%,39.99%,-77.81%,19.65%,13.43%,5.43%,-36.48%,-13.08%,-22.50%,-42.14%,-7.04%,-42.37%,-29.57%,329.59%,1080.12%,1214.11%,999.37%,118.48%,-50.37%,-65.45%,-76.17%,-82.10%,-71.17%,-78.83%,-63.59%,-13.50%,-14.06%,30.03%,92.30%
Receivables,"3,511","3,399","3,647","3,530","3,496","3,353","3,531","3,353","3,509","3,381","4,191","3,963","4,282","4,012","4,334","3,954","4,228","4,074","4,242","4,147","4,329","4,182","4,397","4,376","3,656","2,894","3,106","2,855","3,221","3,782","4,310","4,220","4,778","4,839","5,337","4,908","5,227","5,092","5,339","5,292"
Inventory,"2,528","2,602","2,846","2,792","2,650","2,692","2,841","2,736","2,704","2,639","3,026","3,032","2,944","2,996","3,181","3,174","3,260","3,125","3,354","3,310","3,345","3,216","3,387","3,508","3,698","3,095","3,135","3,100","3,219","3,695","4,055","4,116","4,409","4,437","4,683","4,662","4,621","4,481","4,649","4,722"
Other Current Assets,120.48,122.78,65.61,61.95,124.39,150.78,267.24,93.59,136.12,114.45,158.3,168.91,244.06,155.95,173.46,183.45,326.81,251.99,255.08,235.3,260.29,230.32,244.87,253.19,263.23,300.17,206.37,268.49,251.56,249.72,255.59,353.32,350.39,339.72,310.13,326.31,292.73,290.38,339.3,333.38
Total Current Assets,"6,658","6,682","7,108","11,457","11,521","11,494","7,028","6,779","6,960","10,054","8,135","8,011","8,326","8,033","8,597","8,272","8,716","8,003","8,642","8,438","8,456","8,142","8,484","8,662","9,858","12,348","12,433","11,991","11,587","10,734","10,688","10,063","10,413","10,483","10,767","10,396","10,899","10,608","10,896","11,310"
"Property, Plant & Equipment","3,956","3,986","3,969","4,003","3,970","3,982","3,961","3,937","3,900","3,880","4,419","4,331","4,272","4,377","4,388","4,366","4,392","4,522","4,467","4,376","4,377","4,502","5,120","5,225","5,225","5,062","5,026","5,018","4,959","5,035","5,094","5,032","5,132","5,180","5,167","5,271","5,358","5,647","5,795","5,982"
Goodwill and Intangibles,"2,118","2,128","2,161","2,135","2,088","2,115","2,150","2,141","2,273","2,329","5,020","4,809","4,854","4,954","5,023","5,057","5,122","4,935","4,881","4,776","4,812","4,754","4,697","4,879","4,665","4,513","4,571","4,728","4,702","4,690","5,330","5,323","5,747","5,495","5,341","5,488","5,500","5,505","5,594","6,429"
Other Long-Term Assets,424.47,345.62,356.07,334.98,364.92,398.21,232.36,232.82,217.39,458.34,451.25,478.45,469.78,392.28,409.97,523.56,398.86,609.99,551.44,604.93,555.7,569.79,655.81,606.37,684.07,705.21,711.81,751.74,795.11,954.53,990.42,"1,008","1,031",927.75,935.54,932.16,944.89,"1,061",987.35,"1,020"
Total Long-Term Assets,"6,499","6,459","6,486","6,473","6,423","6,495","6,344","6,310","6,391","6,668","9,889","9,619","9,595","9,723","9,822","9,947","9,913","10,067","9,900","9,756","9,745","9,825","10,472","10,710","10,575","10,280","10,308","10,498","10,457","10,680","11,415","11,364","11,910","11,602","11,444","11,691","11,803","12,213","12,377","13,431"
Total Assets,"13,157","13,141","13,594","17,930","17,944","17,989","13,372","13,089","13,351","16,722","18,025","17,630","17,921","17,757","18,419","18,219","18,629","18,070","18,542","18,194","18,201","17,967","18,957","19,372","20,432","22,628","22,742","22,490","22,043","21,414","22,103","21,427","22,324","22,086","22,211","22,087","22,702","22,821","23,273","24,741"
Accounts Payable,"2,726","2,831","2,924","2,798","2,836","2,882","2,888","2,710","2,907","2,936","3,717","3,550","3,850","3,971","3,951","3,746","4,236","4,136","4,218","4,230","4,293","4,315","4,247","4,160","3,969","3,447","4,035","3,555","4,221","4,885","5,238","5,019","5,722","5,753","6,018","5,420","5,902","6,026","5,796","5,738"
Current Debt,75.96,375.75,385.57,387.77,393.54,"5,050",83.62,90.11,87.01,98.47,16.05,31.54,551.37,534.01,538.15,541.35,294.66,786.51,787.42,792.14,542.97,41.28,160.34,897.62,934.91,"1,652","1,435","1,482","1,077",597.58,607.07,590.58,619.84,686.3,649.86,806.14,818.27,161.6,298.65,203.91
Other Current Liabilities,"1,027","1,161","1,227","1,100","1,110","1,468",999.34,"1,072","1,118","1,400","1,634","1,471","1,329","1,591","1,651","1,696","1,516","1,666","1,636","1,728","1,664","1,747","1,694","1,875","1,721","1,619","1,698","1,679","1,709","1,837","1,893","1,984","2,031","2,311","2,291","2,162","2,260","2,353","2,359","2,313"
Total Current Liabilities,"3,829","4,368","4,536","4,286","4,340","9,400","3,971","3,872","4,112","4,434","5,367","5,052","5,730","6,096","6,140","5,983","6,046","6,589","6,641","6,750","6,500","6,103","6,101","6,932","6,625","6,718","7,168","6,717","7,008","7,320","7,738","7,594","8,372","8,750","8,959","8,389","8,981","8,540","8,454","8,254"
Long-Term Debt,"2,986","2,357","2,627","7,208","7,236","2,272","3,005","4,266","4,275","7,337","7,844","8,314","8,027","7,661","8,426","8,312","8,835","7,541","7,914","8,020","8,134","8,122","9,183","8,655","10,566","13,426","12,968","13,027","12,328","11,223","11,318","11,253","11,311","10,703","10,892","10,984","10,892","11,004","11,400","12,765"
Other Long-Term Liabilities,"1,110","1,149","1,110","1,093","1,055","1,058","1,090","1,010",994.71,"1,471","1,794","1,788","1,834","1,618","1,617","1,655","1,397","1,434","1,348","1,257","1,204","1,239","1,217","1,258","1,212","1,326","1,305","1,320","1,312","1,318","1,374","1,360","1,319","1,250","1,244","1,278","1,254","1,268","1,293","1,317"
Total Long-Term Liabilities,"4,096","3,507","3,736","8,301","8,291","3,329","4,095","5,276","5,270","8,808","9,637","10,102","9,861","9,279","10,043","9,968","10,232","8,975","9,263","9,276","9,339","9,361","10,400","9,913","11,778","14,752","14,273","14,347","13,640","12,541","12,692","12,612","12,630","11,953","12,136","12,262","12,146","12,272","12,693","14,082"
Total Liabilities,"7,925","7,874","8,273","12,587","12,631","12,729","8,066","9,148","9,382","13,242","15,004","15,154","15,590","15,375","16,183","15,951","16,278","15,563","15,904","16,027","15,839","15,464","16,502","16,845","18,403","21,470","21,442","21,063","20,648","19,861","20,430","20,206","21,002","20,703","21,096","20,651","21,127","20,813","21,147","22,337"
Total Debt,"3,062","2,733","3,012","7,596","7,629","7,322","3,088","4,356","4,362","7,435","7,860","8,345","8,578","8,195","8,965","8,854","9,130","8,327","8,702","8,812","8,677","8,163","9,344","9,552","11,501","15,078","14,403","14,509","13,405","11,820","11,925","11,843","11,931","11,390","11,542","11,790","11,710","11,166","11,698","12,969"
Debt Growth,9.43%,-5.39%,-3.77%,153.05%,149.16%,167.90%,2.53%,-42.65%,-42.83%,1.55%,154.50%,91.58%,96.66%,10.21%,14.06%,6.10%,6.43%,1.62%,-2.93%,-0.47%,-4.96%,-1.97%,7.38%,8.40%,32.54%,84.70%,54.15%,51.90%,16.55%,-21.60%,-17.20%,-18.38%,-11.00%,-3.64%,-3.21%,-0.45%,-1.85%,-1.96%,1.35%,10.00%
Common Stock,"-2,938.8","-2,861.39","-2,814.11","-2,687.22","-2,624.25","-2,568.56","-2,503.02","-3,935.89","-4,007.01","-4,168.41","-4,704.14","-5,197.5","-5,481.41","-5,803.5","-6,260.55","-6,323.63","-6,424.04","-6,432.4","-6,503.07","-6,962.67","-7,048.28","-7,127.35","-7,356.66","-7,545.87","-7,712.62","-7,693.51","-7,634.2","-7,568.53","-7,493.62","-7,450.05","-7,397.06","-7,759.3","-7,659.38","-7,675.41","-7,930.47","-7,887.96","-7,973.72","-8,049.45","-8,108.33","-8,130.46"
Retained Earnings,"8,687","8,771","8,879","8,859","8,857","8,752","8,816","8,922","8,965","9,006","9,160","9,256","9,317","9,448","9,638","9,708","9,851","10,349","10,592","10,655","10,894","11,230","11,487","11,640","11,407","10,563","10,547","10,383","10,242","10,152","10,288","10,217","10,280","10,540","10,757","10,649","10,830","11,311","11,561","11,724"
Comprehensive Income,-516.92,-642.66,-743.17,-828.66,-920.14,-923.2,"-1,007.54","-1,045.18",-988.1,"-1,358.12","-1,434.94","-1,582.6","-1,505.44","-1,262.74","-1,142.58","-1,116.03","-1,075.48","-1,409.27","-1,450.84","-1,524.41","-1,483.47","-1,599.73","-1,675.43","-1,566.33","-1,665.52","-1,710.88","-1,612.39","-1,388.17","-1,352.45","-1,148.76","-1,217.94","-1,236.26","-1,299","-1,482.05","-1,711.33","-1,324.79","-1,280.89","-1,252.59","-1,326.8","-1,189.75"
Shareholders' Equity,"5,231","5,267","5,321","5,343","5,313","5,260","5,306","3,941","3,969","3,480","3,021","2,476","2,331","2,382","2,235","2,269","2,351","2,507","2,639","2,168","2,362","2,503","2,455","2,528","2,029","1,159","1,300","1,427","1,396","1,553","1,673","1,221","1,321","1,382","1,115","1,437","1,575","2,009","2,126","2,404"
Net Cash / Debt,"-2,563.17","-2,174.62","-2,461.84","-2,522.88","-2,378.57","-2,023.56","-2,699.98","-3,760.37","-3,751.06","-3,516.1","-7,099.67","-7,497.9","-7,722.85","-7,325.39","-8,055.31","-7,892.77","-8,228.27","-7,774.95","-7,911.46","-8,067.18","-8,155.81","-7,649.88","-8,888.13","-9,027.57","-9,260.48","-9,018.12","-8,417.47","-8,742.29","-8,509.25","-8,813.12","-9,857.1","-10,468.83","-11,054.47","-10,522.56","-11,104.38","-11,289.53","-10,951.97","-10,420.67","-11,129.13","-12,007.22"
Net Cash Per Share,-4.34,-3.68,-4.15,-4.23,-3.97,-3.38,-4.49,-6.58,-6.57,-6.21,-12.66,-13.62,-14.19,-13.60,-15.11,-14.97,-15.58,-14.72,-14.95,-15.38,-15.69,-14.71,-17.13,-17.51,-18.06,-17.71,-16.48,-17.05,-16.54,-17.07,-19.11,-20.34,-21.58,-20.49,-21.76,-22.13,-21.48,-20.49,-21.95,-23.73
Working Capital,"2,829","2,314","2,572","7,171","7,181","2,095","3,057","2,907","2,848","5,619","2,769","2,959","2,596","1,938","2,457","2,289","2,670","1,415","2,001","1,688","1,955","2,038","2,383","1,730","3,233","5,630","5,265","5,275","4,579","3,414","2,950","2,470","2,041","1,733","1,808","2,007","1,918","2,068","2,442","3,055"
Book Value Per Share,8.93,8.98,9.05,9.04,8.94,8.84,8.89,6.95,7.01,6.19,5.44,4.54,4.32,4.46,4.24,4.35,4.51,4.81,5.07,4.19,4.59,4.86,4.78,4.96,3.99,2.28,2.55,2.80,2.73,3.03,3.27,2.39,2.60,2.71,2.20,2.83,3.10,3.96,4.21,4.77
